maxhoog;gemhoog;gesnoeid;hoog_na_snoei;biotooptyp;vegtype;toestel;opm;name_trimble;maxhoog_trimble;x_lambert;y_lambert;maaiveld_taw_m;hzprec;vtprec;PDOP;satellites;date;time;;;;;;;;;;
50;43;20;23;braam;braam;R8;;1;50;77.413,05;227.863,04;4,93;7;10;1.624;18;04/05/2020;11:08:32;;;;;;;;;;
49;31;17;14;gras;gras;R8;;2;50;77.412,35;227.865,55;5,06;6;9;1.624;19;04/05/2020;11:08:50;;;;;;;;;;
58;50;37;13;braam;braam;R8;;3;58;77.414,18;227.871,06;5,14;6;8;1.147;21;04/05/2020;11:12:34;;;;;;;;;;
38;25;15;10;gras;gras;R8;;4;38;77.417,95;227.879,15;4,89;7;10;1.237;19;04/05/2020;11:14:05;;;;;;;;;;
46;42;7;35;boom;berk;R8;;5;46;77.420,53;227.885,08;4,79;6;10;1.204;20;04/05/2020;11:15:58;;;;;;;;;;
48;34;22;12;boom;wilg;R8;;6;34;77.429,71;227.888,23;4,59;6;9;1.168;21;04/05/2020;11:18:48;;;;;;;;;;
25;20;12;8;struweel;meidoorn;R8;;7;25;77.436,95;227.894,15;4,59;6;10;1.169;21;04/05/2020;11:21:20;;;;;;;;;;
36;30;20;10;gras;gras;R8;;8;36;77.449,09;227.895,11;4,64;6;10;1.169;21;04/05/2020;11:23:12;;;;;;;;;;
85;77;50;27;struweel;meidoorn;R8;;9;85;77.453,84;227.900,51;4,90;6;10;1.189;21;04/05/2020;11:25:52;;;;;;;;;;
40;40;32;8;braam;braam;R8;;10;40;77.470,48;227.893,12;5,05;5;9;1.100;26;04/05/2020;11:28:54;;;;;;;;;;
70;65;40;25;gras;pitrus;R8;;11;70;77.479,94;227.893,55;4,52;5;10;1.101;26;04/05/2020;11:35:02;;;;;;;;;;
65;54;34;20;gras;pitrus;R8;;12;65;77.487,92;227.891,45;4,57;5;8;1.116;26;04/05/2020;11:36:34;;;;;;;;;;
40;36;30;6;braam;braam;R8;;13;40;77.502,92;227.893,17;5,97;4;7;1.104;26;04/05/2020;11:39:06;;;;;;;;;;
28;25;15;10;braam;braam;R8;;14;28;77.505,05;227.910,63;5,54;4;8;1.155;25;04/05/2020;11:42:02;;;;;;;;;;
28;25;12;13;boom;berk;R8;;15;28;77.504,03;227.919,00;4,92;5;9;1.150;26;04/05/2020;11:44:01;;;;;;;;;;
20;14;6;8;braam;braam;R8;;16;20;77.512,92;227.923,30;5,64;5;9;1.237;25;04/05/2020;11:46:21;;;;;;;;;;
70;65;57;8;struweel;roos;R8;;17;70;77.517,13;227.920,42;5,52;5;10;1.433;24;04/05/2020;11:48:31;;;;;;;;;;
40;30;16;14;boom;wilg/pitrus;R8;;18;40;77.525,12;227.923,35;4,42;6;13;1.449;23;04/05/2020;11:51:06;;;;;;;;;;
30;20;13;7;gras;gras;R8;;19;30;77.530,75;227.931,61;4,92;5;9;1.375;22;04/05/2020;11:53:18;;;;;;;;;;
24;15;11;4;gras;gras;R8;;20;25;77.536,06;227.928,27;4,77;5;10;1.385;22;04/05/2020;11:54:59;;;;;;;;;;
108;95;35;60;duindoorn;duindoorn;R8;;21;108;77.535,01;227.942,62;5,11;5;11;1.526;20;04/05/2020;11:59:07;;;;;;;;;;
45;28;18;10;gras;gras;R8;;22;45;77.524,94;227.940,15;4,80;6;12;1.609;21;04/05/2020;12:00:48;;;;;;;;;;
22;20;15;5;gras;gras;R8;;23;22;77.514,21;227.960,98;4,75;7;14;1.560;21;04/05/2020;12:03:25;;;;;;;;;;
35;30;16;14;gras;gras;R8;;24;35;77.512,24;227.975,10;4,80;5;10;1.388;23;04/05/2020;12:05:28;;;;;;;;;;
50;40;25;15;braam;gras/braam;R8;;25;50;77.510,65;227.991,62;4,98;5;10;1.395;23;04/05/2020;12:07:57;;;;;;;;;;
40;30;24;6;gras;gras;R8;;26;40;77.515,49;227.998,83;5,53;5;10;1.399;23;04/05/2020;12:11:31;;;;;;;;;;
25;17;11;6;gras;gras;R8;;27;25;77.529,28;227.995,00;5,58;6;12;1.382;23;04/05/2020;12:14:37;;;;;;;;;;
22;15;10;5;gras;gras;R8;;28;22;77.533,89;227.997,15;5,90;7;13;1.433;21;04/05/2020;12:17:45;;;;;;;;;;
58;53;23;30;struweel;meidoorn;R8;;29;58;77.533,92;228.007,24;5,76;6;11;1.294;24;04/05/2020;12:19:24;;;;;;;;;;
20;15;12;3;gras;gras;R8;;30;20;77.537,67;228.000,74;5,89;6;12;1.300;22;04/05/2020;12:22:17;;;;;;;;;;
;;;;;;R8;;31;balise;77.530,69;228.021,67;5,98;6;10;1.217;22;04/05/2020;12:38:09;;;;;;;;;;
3;3;0;3;gras;gras;R8;;32;3;77.542,59;228.005,08;5,81;10;14;1.111;22;04/05/2020;13:51:08;;;;;;;;;;
80;75;0;75;braam;braam;R8;;33;80;77.536,84;228.008,37;5,81;7;10;1.042;23;04/05/2020;13:53:20;;;;;;;;;;
28;20;0;20;braam;gras/braam;R8;;34;30;77.532,24;228.008,37;5,71;7;9;1.083;22;04/05/2020;13:54:30;;;;;;;;;;
95;90;0;90;struweel;meidoorn;R8;;35;95;77.524,51;228.005,60;5,77;8;11;1.082;22;04/05/2020;13:55:24;;;;;;;;;;
15;5;0;5;gras;gras;R8;;36;15;77.514,72;228.001,90;5,55;7;9;1.075;23;04/05/2020;13:56:07;;;;;;;;;;
130;135;0;135;struweel;duindoorn;R8;;37;120;77.507,36;227.999,31;4,94;8;11;1.031;24;04/05/2020;13:57:02;;;;;;;;;;
5;5;0;5;gras;gras;R8;;38;5;77.496,01;227.998,37;4,62;8;11;1.039;23;04/05/2020;13:58:01;;;;;;;;;;
100;80;0;80;struweel;struweel;R8;;39;100;77.481,09;227.985,59;5,09;8;11;1.031;24;04/05/2020;13:59:16;;;;;;;;;;
45;30;0;30;gras;gras;R8;;40;45;77.472,01;227.984,50;5,27;8;10;1.010;24;04/05/2020;13:59:57;;;;;;;;;;
160;120;0;120;struweel;roos;R8;;41;160;77.471,26;227.972,77;5,06;8;10;1.031;24;04/05/2020;14:00:42;;;;;;;;;;
30;25;0;25;struweel;duindoorn;R8;;42;30;77.460,19;227.969,94;5,73;8;10;1.031;24;04/05/2020;14:02:01;;;;;;;;;;
0;0;0;0;bodem;open;R8;;43;0;77.456,19;227.971,57;5,74;8;10;971;25;04/05/2020;14:02:29;;;;;;;;;;
40;30;0;30;braam;braam;R8;;44;40;77.447,35;227.977,51;5,09;7;9;944;26;04/05/2020;14:13:00;;;;;;;;;;
20;15;0;15;gras;gras;R8;;45;20;77.443,02;227.970,54;5,54;5;7;996;25;04/05/2020;14:13:47;;;;;;;;;;
70;60;0;60;struweel;struweel;R8;;46;70;77.434,97;227.972,54;4,73;5;7;1.075;24;04/05/2020;14:14:30;;;;;;;;;;
2;2;0;2;gras;gras;R8;;47;2;77.425,70;227.961,76;5,39;5;7;1.076;24;04/05/2020;14:15:25;;;;;;;;;;
0;0;0;0;bodem;open;R8;;48;0;77.429,02;227.956,51;5,51;5;7;1.003;26;04/05/2020;14:15:55;;;;;;;;;;
40;30;0;30;struweel;struweel;R8;;49;40;77.421,80;227.954,67;5,51;5;7;998;25;04/05/2020;14:16:31;;;;;;;;;;
160;140;0;140;struweel;roos;R8;;50;160;77.413,93;227.964,35;5,55;6;7;998;25;04/05/2020;14:17:19;;;;;;;;;;
30;25;0;25;gras;gras;R8;;51;30;77.408,92;227.964,47;5,54;6;8;1.027;24;04/05/2020;14:18:14;;;;;;;;;;
2;1;0;1;gras;gras;R8;;52;2;77.403,37;227.955,58;5,37;7;8;1.027;24;04/05/2020;14:18:48;;;;;;;;;;
45;45;0;45;struweel;struweel;R8;;53;45;77.403,75;227.951,19;5,23;7;9;1.106;25;04/05/2020;14:19:33;;;;;;;;;;
20;10;0;10;braam;braam/gras;R8;;54;20;77.395,10;227.935,37;5,01;7;9;1.155;23;04/05/2020;14:20:30;;;;;;;;;;
20;20;0;20;gras;gras;R8;;55;20;77.413,27;227.928,26;5,00;6;8;1.275;20;04/05/2020;14:24:34;;;;;;;;;;
10;5;0;5;gras;gras;R8;GRADIENT;56;10;77.419,25;227.923,83;4,92;6;8;1.278;20;04/05/2020;14:25:20;;;;;;;;;;
25;10;0;10;braam;gras/braam;R8;GRADIENT;57;25;77.419,28;227.923,66;4,89;6;8;1.186;21;04/05/2020;14:26:00;;;;;;;;;;
35;25;0;25;braam;braam;R8;GRADIENT;58;35;77.419,30;227.923,29;4,85;7;9;1.188;21;04/05/2020;14:26:44;;;;;;;;;;
105;70;0;70;struweel;duindoorn;R8;GRADIENT;59;105;77.419,45;227.922,74;4,82;6;9;1.258;20;04/05/2020;14:27:31;;;;;;;;;;
125;125;0;125;struweel;duindoorn;R8;GRADIENT;60;125;77.419,57;227.921,84;4,80;7;10;1.493;18;04/05/2020;14:28:28;;;;;;;;;;
20;15;0;15;gras;gras;R8;;61;20;77.422,71;227.918,29;4,76;6;9;1.408;19;04/05/2020;14:29:16;;;;;;;;;;
120;110;0;110;braam;braam;R8;;62;120;77.425,67;227.919,25;4,84;6;9;1.383;20;04/05/2020;14:32:30;;;;;;;;;;
50;40;0;40;gras;gras;R8;;63;50;77.431,38;227.914,44;4,86;7;10;1.454;19;04/05/2020;14:33:49;;;;;;;;;;
70;55;0;55;braam;braam/gras;R8;;64;70;77.424,69;227.925,37;5,00;6;9;1.437;19;04/05/2020;14:39:11;;;;;;;;;;
55;40;0;40;gras;gras;R8;;65;55;77.426,83;227.925,93;4,99;6;10;1.505;18;04/05/2020;14:39:50;;;;;;;;;;
70;50;0;50;gras;gras;R8;;66;70;77.427,89;227.926,39;5,04;6;9;1.704;19;04/05/2020;14:40:21;;;;;;;;;;
100;90;0;90;struweel;roos;R8;;67;100;77.432,11;227.927,21;5,19;7;9;1.467;19;04/05/2020;14:41:06;;;;;;;;;;
75;70;0;70;struweel;meidoorn;R8;;68;75;77.417,00;227.929,74;5,02;8;12;1.601;19;04/05/2020;14:42:12;;;;;;;;;;
100;90;0;90;struweel;duindoorn;R8;;69;100;77.412,15;227.944,00;5,27;8;13;1.620;18;04/05/2020;14:44:27;;;;;;;;;;
80;75;0;75;struweel;meidoorn;R8;;70;80;77.414,96;227.943,67;5,23;8;13;1.626;19;04/05/2020;14:45:10;;;;;;;;;;
80;80;0;80;struweel;duindoorn;R8;;71;80;77.409,62;227.947,25;5,32;9;14;1.632;18;04/05/2020;14:45:58;;;;;;;;;;
20;15;0;15;gras;gras;R8;;72;20;77.416,09;227.967,35;5,44;7;11;1.487;20;04/05/2020;14:47:17;;;;;;;;;;
45;30;0;30;braam;braam;R8;;73;45;77.431,21;227.953,05;5,67;6;9;1.322;20;04/05/2020;15:07:08;;;;;;;;;;
15;5;0;5;gras;gras;R8;;74;15;77.437,69;227.949,75;5,30;6;9;1.243;21;04/05/2020;15:07:57;;;;;;;;;;
45;40;0;40;gras;gras;R8;;75;45;77.440,60;227.949,30;5,51;6;10;1.326;20;04/05/2020;15:08:32;;;;;;;;;;
90;90;0;90;braam;braam;R8;;76;90;77.442,38;227.951,73;5,33;6;10;1.327;20;04/05/2020;15:09:07;;;;;;;;;;
40;30;0;30;gras;gras;R8;;77;40;77.445,02;227.950,90;5,56;6;10;1.329;20;04/05/2020;15:09:40;;;;;;;;;;
125;115;0;115;struweel;sleedoorn;R8;;78;125;77.439,08;227.945,27;5,18;6;9;1.255;21;04/05/2020;15:10:52;;;;;;;;;;
fout;;;;;;;;veg_1;54;77.440,17;227.882,09;4,75;10;14;1.339;13;04/05/2020;10:52:28;;;;;;;;;;
54;51;51;0;struweel;meidoorn;R6;;veg_2;54;77.440,10;227.882,04;4,75;10;15;1.327;14;04/05/2020;10:53:06;;;;;;;;;;
60;34;22;12;gras;duinriet;R6;;veg_3;60;77.429,29;227.892,32;4,66;7;12;1.570;13;04/05/2020;10:59:10;;;;;;;;;;
101;101;87;14;struweel;meidoorn;R6;;veg_4;106;77.426,90;227.904,30;4,79;8;11;1.471;14;04/05/2020;11:04:54;;;;;;;;;;
58;43;22;21;gras;duinriet;R6;;veg_5;58;77.427,23;227.905,54;4,80;6;10;1.410;15;04/05/2020;11:08:55;;;;;;;;;;
38;59;56;3;gras;duinriet;R6;;veg_6;59;77.425,97;227.927,30;4,97;8;13;1.421;15;04/05/2020;11:15:10;;;;;;;;;;
28;27;18;9;struweel;meidoorn;R6;;veg_7;28;77.401,95;227.936,76;4,99;7;12;1.248;16;04/05/2020;11:18:27;;;;;;;;;;
98;89;80;9;gras;duinriet;R6;;veg_8;89;77.402,77;227.949,38;5,15;7;12;1.265;16;04/05/2020;11:21:35;;;;;;;;;;
20;14;7;7;gras;zandzegge;R6;;veg_9;20;77.407,40;227.958,35;5,37;7;12;1.275;16;04/05/2020;11:23:46;;;;;;;;;;
41;29;12;17;braam;braam;R6;;veg_10;41;77.407,49;227.963,54;5,52;7;12;1.404;15;04/05/2020;11:26:18;;;;;;;;;;
26;19;13;6;gras;gras;R6;;veg_11;26;77.416,49;227.967,46;5,42;7;12;1.427;15;04/05/2020;11:30:07;;;;;;;;;;
46;34;17;17;braam;gras/braam;R6;;veg_12;46;77.422,86;227.965,50;5,54;6;11;1.438;15;04/05/2020;11:32:21;;;;;;;;;;
40;33;24;9;struweel;sleedoorn/gras;R6;;veg_13;40;77.429,00;227.965,23;5,18;7;12;1.338;16;04/05/2020;11:34:13;;;;;;;;;;
39;29;11;18;braam;gras/braam;R6;;veg_14;39;77.427,46;227.963,37;5,29;7;12;1.357;16;04/05/2020;11:37:23;;;;;;;;;;
35;27;15;12;braam;gras/braam;R6;;veg_15;35;77.424,67;227.970,33;5,55;6;10;1.376;16;04/05/2020;11:42:12;;;;;;;;;;
57;40;40;0;gras;duinriet;R6;;veg_16;57;77.437,64;227.971,98;4,75;6;11;1.382;16;04/05/2020;11:46:24;;;;;;;;;;
93;82;42;40;struweel;roos;R6;;veg_17;93;77.440,36;227.974,78;4,86;5;9;1.299;17;04/05/2020;11:50:10;;;;;;;;;;
30;24;14;10;kruiden;bezemkruiskruid;R6;;veg_18;30;77.455,56;227.975,69;5,76;5;9;1.196;18;04/05/2020;11:55:41;;;;;;;;;;
42;27;13;14;braam;gras/braam;R6;;veg_19;42;77.459,44;227.968,75;5,58;5;9;1.269;17;04/05/2020;11:58:19;;;;;;;;;;
36;29;11;18;braam;gras/braam;R6;;veg_20;36;77.464,58;227.971,54;5,49;5;10;1.407;16;04/05/2020;12:01:07;;;;;;;;;;
36;26;14;12;gras;gras;R6;;veg_21;36;77.472,91;227.974,85;5,03;5;11;1.534;15;04/05/2020;12:03:32;;;;;;;;;;
60;45;30;15;gras;duinriet;R6;;veg_22;60;77.477,71;227.980,79;4,98;5;11;1.563;15;04/05/2020;12:05:58;;;;;;;;;;
70;67;60;7;struweel;meidoorn;R6;;veg_23;70;77.484,87;227.980,77;4,97;5;10;1.461;16;04/05/2020;12:10:13;;;;;;;;;;
30;17;8;9;gras;gras;R6;;veg_24;30;77.493,89;227.989,79;4,52;5;10;1.465;16;04/05/2020;12:11:40;;;;;;;;;;
67;60;46;14;struweel;duindoorn;R6;;veg_25;67;77.504,94;227.998,65;4,78;6;13;1.469;16;04/05/2020;12:14:42;;;;;;;;;;
60;55;39;16;braam;braam/gras;R6;;veg_26;60;77.509,76;228.005,42;5,08;6;13;1.465;16;04/05/2020;12:17:56;;;;;;;;;;
47;38;22;16;braam;gras/braam;R6;;veg_27;47;77.513,78;227.999,59;5,42;6;13;1.433;16;04/05/2020;12:24:43;;;;;;;;;;
;;;;;;R6;GCP;veg_28;balise;77.530,71;228.021,66;5,94;7;12;1.465;15;04/05/2020;12:32:47;;;;;;;;;;
45;26;0;26;braam;gras/braam;R6;;veg_29;45;77.528,73;227.992,97;5,58;7;9;1.378;13;04/05/2020;13:54:26;;;;;;;;;;
;;;;;;R6;FOUT;veg_30;45;77.518,03;227.992,58;5,29;11;15;1.245;14;04/05/2020;13:55:05;;;;;;;;;;
72;68;0;68;struweel;meidoorn;R6;;veg_31;72;77.518,05;227.992,59;5,28;7;10;1.213;15;04/05/2020;13:55:28;;;;;;;;;;
30;17;0;17;gras;duinriet;R6;;veg_32;30;77.509,74;227.989,07;4,81;6;9;1.252;15;04/05/2020;13:56:06;;;;;;;;;;
122;114;0;114;braam;braam;R6;;veg_33;122;77.509,01;227.981,92;4,67;6;9;1.214;15;04/05/2020;13:57:00;;;;;;;;;;
10;10;0;10;gras;gras;R6;;veg_34;10;77.499,66;227.980,35;4,67;7;10;1.214;15;04/05/2020;13:58:45;;;;;;;;;;
105;100;0;100;struweel;meidoorn;R6;;veg_35;105;77.500,04;227.957,40;4,83;7;9;1.329;13;04/05/2020;14:09:06;;;;;;;;;;
37;28;0;28;berk;berk;R6;;veg_36;37;77.489,22;227.925,61;4,71;7;9;1.291;14;04/05/2020;14:10:55;;;;;;;;;;
55;35;0;35;gras;pitrus;R6;;veg_37;55;77.495,78;227.912,46;4,70;7;10;1.206;15;04/05/2020;14:11:52;;;;;;;;;;
47;34;0;34;braam;pitrus/dauwbraam;R6;;veg_38;47;77.492,89;227.910,10;4,56;7;10;1.205;15;04/05/2020;14:12:35;;;;;;;;;;
6;4;0;4;mos;duinvallei/mos;R6;;veg_39;6;77.490,64;227.906,39;4,58;6;9;1.204;15;04/05/2020;14:13:22;;;;;;;;;;
0;0;0;0;bodem;zand;R6;;veg_40;0;77.497,36;227.892,26;5,42;6;9;1.201;15;04/05/2020;14:14:56;;;;;;;;;;
0;0;0;0;bodem;zand;R6;;veg_41;0;77.498,69;227.885,72;5,52;7;9;1.199;15;04/05/2020;14:15:58;;;;;;;;;;
83;57;0;57;struweel;grauwe wilg/pitrus;R6;;veg_42;83;77.486,17;227.881,88;4,45;7;10;1.306;14;04/05/2020;14:16:55;;;;;;;;;;
60;44;0;44;struweel;grauwe wilg/pitrus;R6;;veg_43;60;77.484,71;227.886,24;4,48;7;10;1.195;15;04/05/2020;14:17:37;;;;;;;;;;
185;175;0;175;struweel;meidoorn;R6;;veg_44;185;77.482,65;227.898,08;4,89;7;10;1.191;15;04/05/2020;14:19:04;;;;;;;;;;
30;22;0;22;braam;duinriet/braam;R6;;veg_45;30;77.470,67;227.905,22;5,29;7;10;1.189;15;04/05/2020;14:20:10;;;;;;;;;;
2;1;0;1;mos;mos;R6;;veg_46;1;77.462,05;227.906,53;5,34;7;10;1.187;15;04/05/2020;14:20:44;;;;;;;;;;
